headline,reviewBody,ratingValue
"Dell 7440, Amazing Brilliance","Dell 7440: Unleashing Productivity with Style

From the first day I laid hands on the Dell 7440, I knew it was a winner. Lightweight, wickedly fast, and remarkably quiet, this machine has become my daily companion, seamlessly blending work and leisure.

Performance Prowess

I've put the Dell 7440 through its paces with various day-to-day tasks, both from a business standpoint and for personal enjoyment. Running multiple programs to increase the CPU load became a sort of personal challenge, and guess what? This laptop emerged victorious every single time. No matter what I threw at it, it never skipped a beat.

Audio Bliss at My Fingertips

The strategically placed audio speakers at the edge of the keyboard are a genius touch. They don't just produce sound; they create an immersive audio experience that adds a certain richness to my virtual meetings and elevates my music and video streaming sessions.

Visual Delight

The screen is a feast for the eyes—bright, vibrant, and clear. Whether I'm crunching numbers for work or catching up on the latest shows, the display quality is consistently impressive. It's the kind of visual experience that turns mundane tasks into enjoyable moments.

Under the Hood Brilliance

Let's talk specs. The Dell 7440 boasts an Intel 13th Gen With vPro i7-1365U processor, 16GB of RAM, and a spacious 512GB HD. Connectivity is a breeze with 1x HDMI, 2x USB-C ports, and 2x USB ports. The larger trackpad? It's a small detail that makes a big difference, especially when you're navigating through hectic workdays.

Pitching the Upgrade

I'm not just singing the praises of this laptop for my benefit. I'm genuinely considering pushing for an upgrade across the executive board. The Dell 7440 brings not just functionality but a touch of sophistication that aligns perfectly with our professional environment. It's the kind of upgrade that can enhance not just individual productivity but the overall work experience.

Final Verdict: A Must-Have for Professionals

In conclusion, the Dell 7440 is more than just a laptop; it's a productivity powerhouse that fits seamlessly into both work and personal life. I wholeheartedly recommend this machine to anyone looking for a perfect blend of style and performance. Time to set a new standard, starting with my own workspace.",5
All as promised and good so far,"The delivery communication, timing, packaging, and completeness was great and exactly as promised. The LT was ready to go with Win 11 as soon as I pulled it out. I know other companies are sending with Win 10 and making the customer do the upgrade. Impression of LT so far - great performance and I love how light it is.",5
Really liking the new Latitude 7440,Suprisingly fast and the touchscreen is very responsive. Better than older models.,5
Great for business and Personal use!,Works very well.  Have not had any difficulty,5
Latitude 7440,"Light and powerful, the screen looks bright and sharp.",5
Latitude 7440 great choice,Very powerful laptop. Easy setting and installation. Great performance.,5
Solid build and good performance,"The overall build of the laptop feels solid which I like, doesn't feel flimsy. Keyboard and mouse pad are responsive and pleasant to use (as far as laptop keyboards/mice go).
So far performance is good, the i7 processor definitely has the machine running smoothly, time will tell after it gets a pile of Windows updates though!
It has an adequate amount of ports compared to other new devices, 2 thunderbolt (one for charging), HDMI and 2 USB.
Overall, I like the design and use of the latitude so far, it's also very quiet in normal use (haven't really tested it with any resource hungry applications just yet), so hoping it will continue to run like this and give me a few years of enjoyable use!",5
Great thin and light powerhouse for discerning business users,"14"" is the new 13"" -- get these laptops with the ultralight configuration including the 5MP webcam and your users will love you (caveat there is not fingerprint reader on the ultralight). We were using XPS 13 because our exec team wanted something thin and light after using Surface Laptops for years. The keyboards are excellent, configurability is great, repairability looks great after opening one up. Best of all - we have HDMI and a USB-A port again.",5
IS Support Tech.,This laptop is the best performer I have used in a laptop in a long time. Perfect on long flights with hours of battery usage. It’s fast and easy to travel with given its size and weight. I don’t leave home without it.,5
Beautifullly functional simplistically elegant,A power house of productivity housed in a cutting edge design.,5
Small but powerful,"Fast little performer! Lightweight and compact! Travel friendly. Feels great, quality item!",5
Dell 7440,Very lightweight and compact.  Respectable performance and features.,5
Slick Little Laptop,Small compact laptop but with a solid feel to it. Only drawback was it doesn't have a NIC port onboard but that's a $10 fix if you find you need to plug in. Otherwise it looks like it will stand up to heavy daily use.,5
Pleasant online purchasing experience buying a DELL laptop,The website is well laid out and easy to compare various models of laptops,5
So far so good,This is second time buying this model. First time had problem with blue screen. Hopefully this one is ok,5
Great Laptop -,Great computer - Clear Video & Good Screen - Nice keyboard - very fast (I7 Proc)-,5
Awesome Laptop,This laptop is everything I have been looking for. Our tech guy set up for work and also for personal use. It’s fast and reliable. Easy to carry to work and home. Great laptop.,5
Sleek,Light weight and nice finishing,5
Lightweight champion,Fantastic laptop. Nice and light and super powerful for the price,5
Overall use of my Dell Latitude 7440,"My Dell works well at home and in the office. I use it Monday - Friday all day long. Connects wireless and wired just fine. It is dependable, it doesn’t crash, I keep it up to date with Windows and Dell updates. I depend on it everyday to get my work done.",5
Latitude 7440 Laptop,Very light weight. Easy to travel with. Touch screen is a plus. The only issue I have with it is the power button. Looks like it is uneven with the other buttons and hard to push.,5
Excellent size,"Excellent size, fast speed! Love this laptop",5
Best computer,"Gorgeous graphics, color, and speed.",5
Nice laptop,unit seems super smooth in how it operates and the controls.  touch screen is reflective in that you can see the ceiling lights reflected in it.  Not as bad as they used to be but not a Matte screen either.,5
"Very Good Build, Value for Money.","Very Good Build, Value for Money.",5
Great PC,"This is a great, light weight laptop. I have really enjoyed using it.",5
The 7440 delivers!,"The 7440 delivers!  Quick setup, great features, and great performance.  Our staff are on the hybrid attendance model and easily switch between home, offsite appts, and onsite work.  Meetings are easy with the onboard audio/video.  Great product.",5
Excellent laptop.,"Fast, light, and compact.",5
"Latitude 7440 is ""the best""",My Latitude 7440 replaced an old and outdated generic PC.  I am impressed with the speed and capability of the Latitude 7440.,5
Versatile and Light - Latitude 7440 Laptop or 2-in-1 is the right choice,"This Laptop is one of the most versatile laptop i ever used, it is light, it has great battery life and it is quick. Not to mention that the screen is crystal clear. good job Dell",5
Great medium to high-end device for your larger deployments.,This laptop fits excellent power and versatility in a surprisingly portable form factor.,5
I am very happy for quick resolution.,I am very happy for quick resolution.,5
Snappy little power house,"Perfect size for travel and in the office with the dock, love the larger trackpad keys feel good, good number of ports 2 usb c and 2 usb 3 the color is different which I also like. The laptop is very quick and does not get too hot.",5
"Solid computer, outstanding fulfillment",Great workhorse laptop; order was filled extremely quickly and delivered ahead of schedule.,5
7440 BTX,"Very happy with Dell product, my third purchase. The setup on my latitude 7440 was a breeze. The graph are amazing. I would recommend Dell products to family and friends.",5
NICE!,Sleek design and responsive key/mouse controls,5
Small issue with keyboard but excellent otherwise,"My only complaint would be that the keyboard feels a bit clumsy in the middle. Doesn't feel well supported. Other than that, this device is excellent!",5
Nice and Solid laptop.,The laptop looks solid and nice but slightly heavy.,5
The best version of the 7440 model,"Great travelers' laptop. In the world of Hybrid work, this device has the right balance between mobile / battery lasting features, and performance when docked. The case and display stand out, making this a particularly suitable candidate for demanding business users.",5
It is Pretty Good,"I received this laptop with skepticism as I have had issues with other laptops from Dell, but I have to say for the price it is a decent laptop, it does not beat my MacBook Pro, but it is a decent laptop.",5
Outstanding laptop for good price,"The laptop is an outstanding piece of art when compared with other brands, very sturdy and reliable for travel, home and office. Has everything I need to get the job done.",5
Masterpiece,Its very light and the material used is very nice,5
Awesome Laptop Highly Recommend,Great laptop. Very light and responsive. Upgraded to 32GB of RAM and 2TB NVME.,5
na,so smooth and practical,5
Lap top,Super fast and light laptop,5
Nice battery life in a small light laptop,Dr's are happy with this new laptop battery life and ease to transport this lightweight laptop.,5
Dell Latitude 7440 GTCO (not BTX version),"My GTCO version of the Latitude 7440 is excellent.  It is light with a responsive keyboard, necessary chip and plug-in options.  It turns on automatically when opened using facial recognition and is ready to use in a very short amount of time.

The BTX version of the the Latitude 7440 was returned to Dell as it did not come with the requested and required options.",5
Laptops,We use the 74x0 laptops throughout our office.  We had some issues with the 7420 but they seem to have been cleared up with this latest model.,5
Does what it says,Fast with 32GB of RAM. Works well. Zero issues connecting to everything I do.,5
best Business Class Laptop,a Feather with better performance....,5
Outstanding laptop so far,"So far this laptop is working great. It's comparable to a Surface device. It's lightweight, screen looks great, keyboard is extremely nice and easy to type on. The trackpad feels amazing. It has a great battery life. No complaints so far even though its still too early to tell.",5
"Solid chassis, well constructed.","Very nice. Solid chassis. I would definitley purchase more. Only negative, this one didn't have the presence detection. I will have to investigate if that is an option.",5
Good item & New color!,Sold quality although it seems a bit smaller,5
Dell 7440,Solid unit. Does whats asked of it.,5
Another Great Dell Product,"This is a great product. I can't recommend Dell enough. There business products, have for the most part, been amazing systems. A Dell user for the last 30 years.",5
Power and Speed in a small package,"I am really amazed at home much speed, size, and functionality this laptop squeezes into such a small, lightweight package. When I first picked it up I was concerned due to it being so light. I figured it had to have scrimped on something. I was wrong. The screen is bright and fast, as is the processor. The speed of bootup with the solid state drive is fantastic. The keyboard feedback is excellent. My only complaint is simply the large size of the mouse pad. I am not used to it yet and keep touching it at the wrong times as I type. But that should fade as I get used to it. Great laptop.",5
LOOK AT THIS REVIEW,Great laptop. Fast. Sometimes slow to start up,5
great for investigation,great product for the job at hand,5
Excellent base platform,"We use this as our standard user platform, and it provides enough power for a very diverse workload.",5
Procurement Manager,"Great laptop, love the keyboard.",5
Great Device,"Great device, the 32GB of RAM makes a big difference. Love the 2-n-1 option and the screen is amazing.",5
Great working computer,The laptop works great - fast! It gives multiple options on security to protect the unauthorized access.,5
Amazing!,"Amazing! Being mostly a mac user, this laptop checks all the boxes. I am loving the speed and the size. Everything I want in a laptop. The screen is beautiful, layout is nice, and a decent weight.",5
Good Performance and compatible for Work,Good Performance and compatible for Work,5
Latitude 7440,I love my new computer. It is fast!,5
Great laptop,Performance on the laptop is great.,5
18 years with Dell Laptops and they are still the best!,"Screen Clarity is Excellent, Sound is Excellent and Overall Quality of Build is Excellent",5
Great,Working good . Value for money,5
Working good,Fast deliver with good condition,5
Awesome laptop for Work & Personal Use !,I got this laptop 2 months ago. Really like the laptop performance.,5
Love this computer,Easy to set up. It's light weight but durable.,5
Great Work Laptop,Fast and Efficient laptop for business,5
Nice mid range business laptop,"Small, sturdy laptop, working well, bought multiple for a department, handles finance programs very well",5
The new company standard,"This is the new standard for our laptop users. The higher quality chassis is incredibly light and durable, has a great look, awesome screen, and great specs for the price. We've only got a few in the hands of users but they all are incredibly happy with the devices compared to the other brand we were using.",5
Best for the price,These models seem to last and are well built,5
Great business laptop,Lightning fast.  very easy to get set up,5
Earl Pedersen Financial Advisor Securian Financial,delivery was 8 days earlier than their estimate!!!,5
Excellent laptop with exceptional battery life,"This laptop came with a 10 core processor (2 Power cores, 8 Efficiency cores), 32 GB of RAM, and a 500 GB NVMe drive. The 14"" screen (non-touch) is easy to read, bright, and a comfortable size. I set the scale to 150% to accommodate my old eyes. The keyboard and touch pad work and feel great. I set up the system to log me in with both facial recognition and with a fingerprint. Facial recognition works surprisingly well in low light. The only time it didn't work was outside, with the Sun shining on the camera. Speaking of the camera, the video, audio, and microphone worked well in remote meetings.

It has a useful set of ports: Two USB-C, two USB-A, one HDMI, and one old-style headphone jack. Both USB-C ports are capable of powering this computer.

I connected three 27"" monitors to this laptop at the same time, and it handled them nicely. Two were connected to a docking station on one of the laptop's USB-C port, and the third monitor was connected directly to the other port.

I tested gaming on it. The video adapter is purely Intel. I tried playing No Man's Sky on it. It was playable, but not a great experience. I wouldn't recommend this laptop for gaming, though it wasn't designed or marketed for that, so that's fair.

I made a drive image backup, then installed both Debian 12 and Ubuntu 22.04 on it. Both systems worked very well on this laptop, with the exception of the built in web cam, which seems to lack Linux drivers at this time. I did a drive speed test, which resulted in around 3800 MB/sec read speed. Wow! That's the fastest NVMe drive I have ever used, so I was thoroughly impressed.

The battery life on this machine is very impressive. It is hard to give a single answer on how many hours to expect, as it depends on what load it is under. It varies between 7 hours and 20 hours, depending on what I'm doing. I'm confident it would make it through an entire work day under normal use, so I give it high marks for battery life.

I would definitely recommend this computer for anything except gaming, and will definitely consider it for future business purchases.",5
Great workhorse,Fantastic responsive and light,5
Great system and nice hardware,Over all the laptop is very powerful and great hardware in a small sleek profile. I do still have issue with the trackpad but that is more a windows issue than dell. Glad to see previous conserns have been addresses in this model.,5
Excellent laptop,Love the size and speed of the laptop.  It runs all of our programs easily and the screen is easy on the eyes.,5
Dell 7440: a laptop for lawyers,"A super quick piece of kit with capacity to add 3 big Dell monitors using my power dock. I’m a lawyer and I work from the office, the courts and from home. This little system adapts to any environment I work in, especially when I use my virtual desktop. The connection is so fast it’s just like being there. It packs a huge punch for its 14 inch profile. A laptop that understands the needs of lawyers.",5
Incredible laptop,Use this laptop for work. Its so good I had to get one for myself.,5
Great product,"The Latitude 7440 gives my sales team everything they need. Compact, touch screen, long battery life, great performance. This is our 4th generation of Latitude laptops and Dell continues to improve the product. Please maintain these standards of improvement and keep latitude a brand that I can trust.",5
Great device at a great price.,"Great computer, super quick with the next generation Intel processor!",5
This laptop is a beast!,this laptop is a beast. IT has everything a gamer wants and needs.,5
Great Laptop,"The 7440 XCTO is light weight, fast and the screen looks great.  I love the light up keyboard and fingerprint reader.  The sound is excellent, the trackpad is large and responsive and if you accidently rest your hand on it, it doesn't go crazy.  It doesn't get crazy hot when charging or when using it so it is comfortable to use on your lap.  It flips over to tablet mode without having to disconnect the keyboard which is convenient so you don't have to worry about misplacing the keyboard and you still have access to all the ports.  There is a strong magnet on the side to hold the pen.  Other laptops that I have used that had this feature had weak magnets that made losing the pen a real possibility.  The styling is generic Dell which is actually ok as it makes it less flashy and less prone to theft.  Overall a great laptop at a good price.  10 out of 10, would buy again.",5
"Well designed, powerful compact laptop",This laptop is terrific.  Dell really has stepped it up and continues to impress.  The thin form factor is so incredibly lightweight.  Don't be deceived by it's small size as it packs a punch.  The processor is super fast and it is very snappy.  It has all of the ports that I need for business and the battery lasts and lasts.  The screen clarity and camera quality make working a breeze.  The keys are comfortable and feel nice as you type.  The touchpad is large and useful.  I love the power button towards the top right.  The color is a beautiful deep blue which looks sharp.,5
College Student Review,"This laptop is very nice, its the perfect weight and dimensions, making it a great laptop to carry around. The keyboard is very nice and the keys are smooth to type on. The only thing that I found difficult was figuring out how to put shortcuts for apps on the computer onto the desktop, but that might just be a feature of Windows.",5
Excellent Laptop,A very fine laptop.  More than accommodates my needs.,5
Dell 7440 - What'd not to like?,What's not to like? i find the screen and keyboard to be and excellent and efficient UI.  the keyboard allows the user to type at their best speed; the OS is intuitive.  A great workhorse for keeping up with increasing demand to do more in less time.,5
Best Dell Laptop,sleek Laptop with very smooth keypads- I love the extra ports,5
5 Stars,The Dell 7440s are amazing computers with high quality components. It runs at optimal speeds which ensures I have the tool I need to be productive in my IT role. My personal computer is a Mac and this 7440 makes me reconsider the brand of my next personal device purchase.,5
very light laptop with plenty of performance!,"Very light and powerful laptop. This laptop is packed with plenty of power in 32 GB of RAM, and really power core i5, but weighs about as much as a tablet. Getting really good performance from this system as an end user workstation. User is extremely happy with their new laptop!",5
Latitude 7440 is well worth the investment,The new chipset and reliability of the Latitude series is hands down the best laptop on the market!,5
New Instructor Laptops,Very Nice units Smaller than expected,5
Latitude 2 in 1  7440,"Very suitable for sales/marketing executive and above, complete with very high specification with good graphic chipset. Good for presentation.",5
"Looks good, built well and is fast","Looks great, built well and performs fast. Job well done",5
"Working on 14 spreadsheets at once, get one of these.",Great build quality and amazing performance. Ideal for users who require a little bit of additional power for the day to day use.,5
Dell Latitude is a solid system,"I recently purchased the Dell Latitude laptop for use at our University, and I must say, I am thoroughly impressed with its performance and features. Here is my review of the Dell Latitude laptop:

Design: The Dell Latitude laptop has a sleek and professional design. It is lightweight and portable, making it easy to carry around for meetings and travel. The build quality is sturdy, and the keyboard is comfortable to type on for long periods.

Display: The laptop features a vibrant and sharp display. The colors are accurate, and the viewing angles are excellent, making it a pleasure to work on. The screen size is perfect for multitasking and viewing documents or spreadsheets.

Performance: The Dell Latitude laptop is a powerhouse when it comes to performance. It is equipped with a powerful Intel Core processor and ample RAM, allowing for smooth multitasking and fast response times. Whether I am working on multiple applications or running resource-intensive software, the laptop handles it with ease.

Battery Life: The battery life of the Dell Latitude laptop is impressive. It lasts for hours on a single charge, allowing me to work without having to constantly search for a power outlet. This is especially useful when I am on the go or attending meetings.

Connectivity: The laptop offers a wide range of connectivity options, including multiple USB ports, HDMI, and an SD card reader. This allows me to connect various devices and peripherals without any hassle. The Wi-Fi connectivity is also strong and reliable.

Security: The Dell Latitude laptop prioritizes security with features such as a fingerprint scanner and a TPM chip. This gives me peace of mind knowing that my data is protected and secure.

Software: The laptop comes with the latest version of Windows, which is user-friendly and easy to navigate. Additionally, Dell provides useful software utilities to optimize performance and manage system settings.

Customer Support: Dell provides excellent customer support. Whenever I have had any queries or issues, their support team has been prompt and helpful in resolving them.

Overall, the Dell Latitude laptop is a fantastic choice for business professionals. It offers a perfect balance of performance, portability, and security. I highly recommend it to anyone in need of a reliable and efficient laptop for their work.",5
Latitude 7440,Great small form rugged laptop,5
"Lightweight, fast, perfect","I'm loving my new laptop.  The speeds, lightweight and ease of use are perfect",5
Happy Latitude 7440 Owner,Rock solid hardware with a beautiful display.,5
Great laptop upgrade!,The laptop is performing great. Love the new color of the new 7440. Premium feel and love the venting location. The additional screen resolution is a great add to increase productivity.,5
Great performances,T»his one really delivers. Pleanty RAM and Processor speed.,5
"Lightweight, compact, yet powerful","I have never been a fan of Dell products in the past, as I always imagined them to be too bulky and heavy for my tastes (and my back!) but I was quite pleased by this laptop.  Being used to the triangle of laptop quality (power /style /weight), I was surprised to find that it actually solves for all three.  Well played, Dell - I’ll have to keep you in consideration when I update my gaming rig, in case you’ve improved that area as well.",5
April Farrah at Dell is the best she handle,"Great laptop, very fast and responsive, no complaints",5
7440 Aluminum,Solid build and elegant color.  Great high res screen and very quick in a lightweight package.,5
Elegant,"Beautiful Display, light, great performance. Everything you can ask for!",5
My executive computer,This has become my daily driver. It's light weight and able to handle of of my business needs.,5
Latitude 7440 Review,Latitude 7440 is a great laptop to use for everyday tasks. 2 in 1 feature makes it very versatile for any kind of task I need to do. Performance is good and the size/weight makes it easy to carry.,5
Get the best - this is it.,"Super fast, great screen.  When working from a computer, get the best.  This is it.",5
Great laptop!,"The 7440 has a great feel, love the aluminum casing.  Super fast with the 13th gen processor.",5
Flagship done right!,"This is the most well executed laptop model that Dell has released in a while. They clearly took the best features from the precision line, and what people wanted from previous Latitude models and put it together to create an amazing device that's capable and lightweight at the same time. The 7440 has everything my company needs for an executive end user, it's got 5G, 13th gen Intel, 32GB of ram, a QHD Matte display, a decent webcam, and powerful speakers, in a very light and small form factor. If I had to pick a windows laptop that closely compares to a m1 MacBook pro, this would be it.",5
Awesome Laptop,Easy to issue and full charging will gives long time durability,5
"""Portable Powerhouse: Dell Latitude 7440 - A Perfect Blend of Performance, Portability, and Modern Design""","The Dell Latitude 7440 is an impressive piece of hardware that truly earns its 5-star rating. It is perfect on it's size, making it incredibly portable and a perfect companion for professionals on-the-go. Despite its size at 14.0"" with FHD+, the 13th Gen Intel Core i7-1355U is all performance. It delivers top-notch speed and efficiency, managing to handle a multitude of tasks simultaneously without a hiccup. The sleek modern design adds to its appeal, featuring clean lines and a high-quality build that feels sturdy yet remains lightweight. This model is also equipped with a variety of inputs, from USB including USB-C, HDMI ports, and audio, which adds to its versatility and future-proofs it for emerging technologies. The Latitude 7440 truly shines in its mobile agility, offering excellent battery life and fast wireless connectivity with Intel Wi-Fi 6E. Whether for business or personal use, this laptop is an excellent choice for those seeking portable power and stylish design.",5
Slim & Light Powerhouse!,"Light & compact, powerful enough for all my computing needs without breaking my back!",5
Great Laptop!!,"Light Weight, Fast and great battery life!",5
Highly recommend!,It is very sleek and nice to work with. The touch screen isn't a bother and is great once I need it. The battery life is very long and the keyboard has an amazing sound as well.,5
Best laptop of 5 previous laptop computers I have owned!,"This laptop is the perfect combination of power, I7 with 16GB memory, keyboard key size and feel plus it is touch screen. It is equipped with a fingerprint reader and I know this saves me at least 20 minutes every day and I don't have to remember the passkey. I power two 28"" external monitors and I am using the Dell Thunderbolt Dock which also charges the Latitude 7440's batteries all thru one thunderbolt connection. The laptop ran about 8 hours of heavy use on its internal batteries alone. It is processing Camtasia video renderings about 20% faster that my other 5 year old Dell laptop G7 which is also an I7 with 16GB of memory. Not one issue with the 7440 or the docking station. Love this machine.",5
Great travel workstation,"My wife needed a new work system and this is the one she went with. It works great, its light and powerful. It acts as a personal workstation at home and easy to travel laptop while she is on the go",5
Dir IT,it works well with the large keyboard including a keypad for financial.,5
My favorite Latitude model to date,"I've been fortunate enough to try out all of the new '40' series laptops and this is by far my favorite.  It's not too large and not too small, as the 14"" screen is just right for performing daily tasks.  The best enhancement besides the latest processor in this series is the speakers as they now throw the sound up whereas in the past they'd throw it downwards, so hearing audio on this newer model is much better than in the past.  I'll probably be buying many of these within the near future.",5
New Latitude 7440 Laptop,"Light and powerful. Screen is excellent. Docking is simple, just one USB-C connection and you are good to go.",5
Solid executive class laptop,Nice premium 2-in-1 laptop,5
New Dell Latitude 7440 Laptops,"The Dell Latitude 7440 laptop is a really nice laptop, bright screen, easy to setup and configure. Our users are very happy with them. Ordering and Delivery were much faster than expected.",5
"Big power, big screen!","The 7440 is a very premium product.  I'm really happy about the move to a 16:10 aspect ratio.  The world was 16:9 for a long time due to movies... but that's not really what this device is for.  From a productivity standpoint, the additional vertical space is extremely useful.",5
Excellent!!!!,Excellent laptop.  Lightweight and powerful,5
"Ultralight, portable 2 and 1 laptop","13th gen is perfect for multi-tasking, perfect for my needs.  14"" touch screen, great speakers with IR cam perfect for Windows Hello.",5
